Genome	M1C	M2C	M3C	M4C	Marinobacter_CB1	Marinobacter_CBIA	Marinobacter_CBIW17	Marinobacter_CBIW18	adhaerens	algicola	antarcticus	aromaticivorans	bohaiensis	changyiensis	confluentis	daepoensis	daqiaonensis	excellens	flavimaris	fonticola	fuscus	gelidimuriae	gudaonensis	guineae	halophilus	halotolerans	hydrocarbonoclasticus	lipolyticus	litoralis	lutaoensis	manganoxydans	maritimus	mobilis	nanhaiticus	nitratireducens	pelagius	persicus	piscensis	profundi	psychrophilus	salarius	salexigens	salicampi	salinus	salsuginis	santoriniensis	segnicrescens	shengliensis	similis	subterrani	vinifirmus	vulgaris	zhejiangensis
2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	6	6	5	6	4	4	3	5	4	1	4	2	3	2	2	2	1	1	1	1	2	1	2	5	1	1	1	3	1	2	1	3	1	1	1	4	1	1	1	1	1	1	1	3	1	3	1	1	1	3	1	1	1
Glucose dehydrogenase	2	2	1	2	2	1	1	2	3	1	0	2	3	2	1	2	1	1	1	0	1	0	1	2	2	0	2	1	2	2	0	2	1	2	1	0	0	0	1	1	2	1	2	2	2	1	1	2	2	1	2	1	2
Electron transfer flavoprotein, alpha subunit	2	2	2	2	1	1	1	3	1	1	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1
5'-deoxynucleotidase YfbR and related HD superfamily hydrolases	3	3	1	3	2	1	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UDP-N-acetyl-D-mannosaminuronate dehydrogenase	2	2	2	2	0	1	3	1	2	1	1	1	2	1	1	2	0	2	2	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	1	1	0	3	1	1	1	0	1	0	1	1	0	1	2	1	1	6	1
Glucose-6-phosphate 1-dehydrogenase	2	2	2	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC	1	1	1	1	1	1	5	0	2	2	2	1	4	2	1	1	1	1	3	3	1	7	2	2	1	2	2	1	3	1	2	1	2	2	3	2	2	2	6	1	1	1	2	2	2	2	2	3	3	3	1	1	1
Molybdenum cofactor biosynthesis enzyme MoaA	1	1	1	1	0	1	0	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	0	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	2
Phosphoenolpyruvate synthase/pyruvate phosphate dikinase	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	3	3	2	1	1	2	1	1	2	2	1	3	1	2	1	1	2	1	1	1	3	2	1	2	1	2	1	2	2	1	2	3	2	1	1	2	4	2
Isopropylmalate/homocitrate/citramalate synthases	6	6	8	6	6	10	8	12	7	5	4	5	3	3	4	6	3	4	3	2	3	5	3	5	3	3	4	5	5	3	4	4	4	2	3	5	3	3	4	4	5	4	2	4	4	4	3	4	6	3	5	3	5
Cytochrome c biogenesis factor	1	1	1	1	2	0	1	0	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1
Chaperonin GroEL (HSP60 family)	1	1	1	1	0	1	2	0	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1
Predicted ATP-dependent protease	1	1	1	1	2	2	2	3	3	1	2	2	1	2	1	2	2	1	2	1	1	1	1	2	2	1	2	2	1	1	2	1	3	1	2	2	2	2	2	1	1	2	1	2	2	2	2	2	1	1	2	2	1
DNA mismatch repair ATPase MutS	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component	3	3	3	3	2	5	4	8	3	3	3	2	2	2	3	1	2	2	3	2	1	4	3	2	3	3	2	2	1	1	3	2	1	2	1	2	1	2	2	3	3	2	3	3	3	2	2	2	5	2	1	3	1
Glutaredoxin-related protein	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
Phosphate/sulfate permease	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase	3	3	3	3	5	5	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3
Glutathione S-transferase	11	11	12	11	8	9	9	11	10	15	10	7	12	13	10	6	14	6	8	15	5	5	7	10	6	12	10	10	8	6	9	12	10	16	9	7	6	7	8	8	17	9	10	12	9	8	12	8	14	10	5	10	10
Na+/proline symporter	6	6	5	6	5	6	7	6	6	5	5	3	5	5	5	4	6	5	5	6	5	5	5	5	5	5	4	6	5	4	6	5	6	6	5	5	5	4	5	5	5	5	6	5	5	4	5	5	8	5	4	6	4
Acetyl-CoA carboxylase, carboxyltransferase component	1	1	2	1	2	1	1	2	3	2	2	4	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	3	2	2	2	2	2	2	2	0	2	2	1	2	2	2	2	2	2	3	2	3	2	2	2	2
Uncharacterized membrane protein YdjX, TVP38/TMEM64 family, SNARE-associated domain	5	5	5	5	4	5	5	8	4	4	4	1	2	3	2	2	2	2	5	3	1	4	3	5	2	4	2	1	2	1	5	3	2	3	2	3	4	2	1	3	3	1	3	4	4	8	4	3	4	2	2	4	2
DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains	10	10	10	10	7	16	7	11	8	8	7	9	8	13	8	9	11	9	9	10	7	7	9	8	8	9	9	11	9	7	7	13	8	10	7	7	7	7	9	8	8	9	10	9	9	8	9	9	10	9	8	8	8
ATP-dependent Clp protease ATP-binding subunit ClpA	3	3	3	3	3	3	3	5	5	4	3	3	4	2	3	3	2	4	3	3	4	2	3	3	3	4	4	3	3	4	3	4	3	4	4	2	2	3	3	2	3	3	2	3	4	4	2	4	5	3	3	3	3
Voltage-gated potassium channel Kch	3	3	3	3	6	7	5	6	3	3	3	3	4	3	3	3	3	3	3	4	3	3	3	3	2	3	3	3	3	3	3	4	3	5	3	3	3	3	3	3	3	3	3	3	3	1	3	2	4	2	3	3	4
Aconitase B	1	1	1	1	1	1	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7-cyano-7-deazaguanine synthase (queuosine biosynthesis)	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1
Methionine aminopeptidase	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2
Transaldolase	2	2	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	0	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1
Transposase InsO and inactivated derivatives	23	24	28	25	10	5	9	10	6	13	5	3	0	9	9	3	2	8	6	7	3	4	1	1	5	2	5	1	5	5	10	8	5	19	0	6	3	2	4	10	10	7	2	0	6	9	21	3	2	11	12	11	4
5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Fe-S cluster assembly iron-binding protein IscA	3	3	5	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3	3	4	3	3	3	3
Malic enzyme	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	3	1	1	2	2	1	2	1
HPt (histidine-containing phosphotransfer) domain	2	2	2	2	2	2	2	2	5	3	3	3	3	3	4	3	3	3	4	3	3	2	3	3	3	3	3	3	3	3	4	3	4	3	4	3	3	3	3	2	3	3	3	4	3	3	3	3	6	3	3	3	3
Predicted ATPase with chaperone activity	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1
Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family	4	4	4	4	4	3	2	4	6	5	4	2	4	3	3	2	3	3	5	6	4	4	3	3	3	3	2	3	2	3	11	5	4	6	3	3	6	2	4	4	4	2	3	3	6	4	5	2	4	3	4	4	2
Zn-dependent oligopeptidase	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component	2	2	2	2	2	2	2	3	2	2	2	1	1	1	2	1	1	1	2	1	1	1	2	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1	1	3	1	1	2	1
DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif	2	2	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain	1	1	1	1	0	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1
Superfamily II DNA or RNA helicase, SNF2 family	2	2	2	2	3	3	3	3	1	1	1	3	1	1	1	1	3	1	1	1	4	5	2	1	1	1	1	1	1	4	1	2	1	1	1	1	1	1	1	1	4	2	1	1	1	1	3	2	1	2	1	2	1
Isocitrate lyase	1	1	1	1	1	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Membrane carboxypeptidase/penicillin-binding protein	1	1	1	1	2	3	0	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sec-independent protein translocase protein TatA	2	2	2	2	3	4	2	3	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Zn-dependent peptidase, M16 (insulinase) family	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Uncharacterized OsmC-related protein	4	4	2	4	3	4	4	5	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	3	2	2	2	3	2	1	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	3	2	2	3	2
Glutathione synthase/RimK-type ligase, ATP-grasp superfamily	7	7	6	7	4	6	3	7	5	5	5	5	6	5	5	4	5	6	5	5	5	7	5	6	5	3	5	5	5	5	5	5	6	5	6	5	6	4	5	7	5	5	5	5	5	5	6	6	7	5	4	5	5
ABC-type amino acid transport/signal transduction system, periplasmic component/domain	12	12	10	12	9	11	6	7	24	23	20	9	26	16	18	17	10	16	22	20	9	7	19	21	13	21	16	19	9	14	21	16	16	27	17	10	8	6	9	18	23	11	15	18	22	16	9	20	27	20	9	13	17
Protein chain release factor A	1	1	1	1	1	1	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
LysM repeat	4	4	4	4	9	8	6	9	2	3	1	2	2	2	2	2	2	2	2	1	3	4	4	1	2	3	2	2	2	3	3	2	3	2	2	2	2	2	2	2	2	3	2	2	1	3	2	2	4	5	3	2	3
RecA/RadA recombinase	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
Excinuclease UvrABC helicase subunit UvrB	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	5	5	4	5	7	6	6	5	4	3	4	3	7	4	3	3	3	3	4	3	3	4	3	4	3	3	3	5	3	3	3	3	4	4	4	4	3	3	3	4	3	3	3	4	3	4	4	3	5	3	5	5	5
Protoheme ferro-lyase (ferrochelatase)	1	1	1	1	2	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HrpA-like RNA helicase	2	2	2	2	1	3	3	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2
Aspartyl aminopeptidase	1	1	1	1	2	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Aspartate/methionine/tyrosine aminotransferase	5	5	5	5	5	4	7	4	5	5	5	6	6	5	5	5	5	5	5	6	5	4	5	5	5	5	5	5	5	5	5	5	6	6	5	5	5	4	5	4	5	5	5	5	5	6	5	5	7	6	5	6	4
Cytochrome bd-type quinol oxidase, subunit 2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2
Nucleoid-associated protein YgaU, contains BON and LysM domains	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Nucleotide-binding universal stress protein,  UspA family	9	9	7	9	9	6	5	8	7	4	9	11	2	9	3	7	8	4	7	2	5	6	5	9	10	6	8	6	5	3	6	6	6	7	7	9	7	8	6	7	3	8	5	9	7	10	11	6	7	6	5	10	3
Acyl carrier protein phosphodiesterase	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	25	25	29	25	17	21	18	25	33	23	22	21	23	25	14	16	31	16	26	17	13	18	18	24	16	20	15	16	14	15	22	22	15	24	17	23	8	18	21	21	21	16	23	20	22	17	32	13	28	21	15	19	18
UTP:GlnB (protein PII) uridylyltransferase	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2
Dehydrogenase (flavoprotein)	1	1	2	1	1	2	2	2	3	2	3	2	2	3	2	2	3	2	3	2	2	2	2	2	2	3	2	2	2	2	3	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	3	2	2	2
MoxR-like ATPase	4	4	4	4	3	4	3	3	5	3	4	7	3	3	4	6	3	5	4	4	6	5	3	5	6	3	6	4	5	4	4	4	6	4	5	5	4	5	5	4	3	6	5	4	4	4	5	7	4	4	5	3	5
Xanthine/uracil/vitamin C permease, AzgA family	2	2	2	2	2	2	3	3	2	3	1	2	1	1	1	2	1	2	2	2	2	2	1	1	2	1	2	2	2	2	2	2	2	1	2	1	1	2	2	2	3	2	1	1	2	1	1	2	1	1	2	2	2
Formyltetrahydrofolate hydrolase	2	2	2	2	2	2	3	3	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1
Methionyl-tRNA formyltransferase	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2
Sensor histidine kinase YesM	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1
Coproporphyrinogen III oxidase	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Lactam utilization protein B (function unknown)	1	1	1	1	1	1	0	1	1	2	1	1	1	2	3	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1
Apolipoprotein N-acyltransferase	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
Methionine synthase I (cobalamin-dependent), methyltransferase domain	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
Peptide chain release factor RF-3	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Uncharacterized conserved protein YhdP, contains DUF3971 and AsmA2 domains	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
Fumarate hydratase class II	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase	3	3	4	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	1	2	4	2	2	2	2	2	3	2	2	4	2	2	2	2
ATP-dependent Zn proteases	1	1	1	1	1	2	3	1	2	1	2	2	1	2	1	2	3	1	2	1	1	1	3	2	2	3	2	2	1	3	2	2	2	3	2	2	2	2	2	1	1	2	2	2	2	2	2	2	3	2	2	3	2
Sec-independent protein secretion pathway component TatC	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NH3-dependent NAD+ synthetase	1	1	1	1	1	2	0	2	1	1	1	1	1	1	1	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
Superfamily II DNA and RNA helicase	4	4	4	4	6	6	2	5	4	5	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	5	4	4	4	4
LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA)	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Heme A synthase	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Phosphoenolpyruvate carboxykinase, ATP-dependent	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	1
Prolyl-tRNA synthetase	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
Threonine dehydratase	2	2	1	2	1	1	2	4	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	2	1	2	2	1	1	2	1	1	2	1	2	1
RNA processing exonuclease, beta-lactamase fold, Cft2 family	2	2	3	2	2	2	1	2	3	2	3	4	0	2	2	2	2	2	7	1	2	6	2	2	2	2	2	2	1	1	5	3	1	2	2	2	3	2	5	1	1	2	2	2	2	2	3	3	1	2	2	2	1
C-terminal processing protease CtpA/Prc, contains a PDZ domain	2	2	2	2	4	1	1	4	2	3	3	2	2	3	3	2	2	2	2	2	2	3	3	3	2	3	2	3	2	2	2	2	2	3	2	2	3	2	2	2	3	2	2	3	2	2	2	2	4	3	2	7	2
ABC-type multidrug transport system, permease component	4	4	5	4	4	7	6	7	4	4	3	8	3	4	3	4	3	6	5	2	4	3	3	4	3	2	4	3	3	6	4	5	3	4	6	4	4	3	6	4	4	3	3	5	3	5	5	6	3	4	4	3	5
ATPase components of ABC transporters with duplicated ATPase domains	4	4	4	4	5	4	2	3	4	4	5	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	3	4	4	4	4	3	4	4	4	4	4	4	4	4	5	4	4	4	4	7	4	4	4	3
Ribonuclease G or E	2	2	2	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2
Carbamoylphosphate synthase small subunit	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	5	5	6	5	3	6	4	7	5	4	4	6	4	5	3	4	5	4	4	4	4	5	4	4	4	4	5	4	4	4	4	4	7	4	4	5	1	5	4	4	4	5	4	5	4	4	5	4	8	4	3	4	4
(p)ppGpp synthase/hydrolase, HD superfamily	3	3	3	3	3	4	5	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	7	3	3	3	3
Cytochrome bd-type quinol oxidase, subunit 1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2
tRNA-dihydrouridine synthase	3	3	3	3	3	4	4	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3
6-phosphofructokinase	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Primosomal protein N' (replication factor Y) - superfamily II helicase	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Predicted flavoprotein YhiN	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1
Uncharacterized conserved protein, phosphatidylethanolamine-binding protein (PEBP) family	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1
TRAP-type mannitol/chloroaromatic compound transport system, large permease component	8	8	8	8	6	9	5	7	4	9	4	4	8	8	4	4	4	2	5	6	2	5	4	6	2	4	3	5	2	6	6	6	4	8	4	5	1	2	4	9	9	4	4	5	5	4	3	2	8	6	2	3	5
UDP-N-acetylmuramate-alanine ligase	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2
N-acetyl-beta-hexosaminidase	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Adenylate cyclase, class 3	1	1	1	1	0	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain	4	4	4	4	4	4	3	4	3	2	4	3	5	5	2	3	2	5	2	5	2	3	2	3	3	3	3	2	2	4	2	3	2	6	2	3	2	3	2	4	2	3	3	4	2	3	2	3	3	3	2	2	2
